国内,#genre#
黑龙江卫视 3M1080,http://hdtv.lzu6.edu.cn/hls/jlu_hljhd.m3u8
CCTV-1综合高清,http://hdtv.lzu6.edu.cn/hls/cctv1hd.m3u8
CCTV-1综合高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv1hd.m3u8
CCTV-1综合高清,http://hdtv.lzu6.edu.cn/hls/hls27.m3u8
CCTV-1综合高清,http://hdtv.lzu6.edu.cn/hls/hls256.m3u8
CCTV-1综合高清,http://hdtv.lzu6.edu.cn/hls/hls74a1.m3u8
CCTV-2财经高清,http://hdtv.lzu6.edu.cn/hls/cctv2hd.m3u8
CCTV-2财经高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv2hd.m3u8
CCTV-2财经高清,http://hdtv.lzu6.edu.cn/hls/hls135.m3u8
CCTV-2财经高清,http://hdtv.lzu6.edu.cn/hls/hls74a2.m3u8
CCTV-3综艺高清,http://hdtv.lzu6.edu.cn/hls/cctv3hd.m3u8
CCTV-3综艺高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv3.m3u8
CCTV-3综艺高清,http://hdtv.lzu6.edu.cn/hls/hls74a3.m3u8
CCTV-4中文国际高清,http://hdtv.lzu6.edu.cn/hls/cctv4hd.m3u8
CCTV-4中文国际高清,http://hdtv.lzu6.edu.cn/hls/hls4.m3u8
CCTV-4中文国际高清,http://hdtv.lzu6.edu.cn/hls/hls68a40.m3u8
CCTV-4中文国际高清,http://hdtv.lzu6.edu.cn/hls/hls74a4.m3u8
CCTV-5体育高清,http://hdtv.lzu6.edu.cn/hls/cctv5hd.m3u8
CCTV-5体育高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv5hd.m3u8
CCTV-5体育高清,http://hdtv.lzu6.edu.cn/hls/hls73a5.m3u8
CCTV-5体育高清,http://hdtv.lzu6.edu.cn/hls/hls257.m3u8
CCTV体育赛事高清,http://hdtv.lzu6.edu.cn/hls/cctv5phd.m3u8
CCTV体育赛事高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv5p.m3u8
CCTV体育赛事高清,http://hdtv.lzu6.edu.cn/hls/hls92.m3u8
CCTV体育赛事高清,http://hdtv.lzu6.edu.cn/hls/hls73a6.m3u8
CCTV-6电影高清,http://hdtv.lzu6.edu.cn/hls/cctv6hd.m3u8
CCTV-6电影高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv6hd.m3u8
CCTV-7国防军事高清,http://hdtv.lzu6.edu.cn/hls/cctv7hd.m3u8
CCTV-7国防军事高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv7hd.m3u8
CCTV-7国防军事高清,http://hdtv.lzu6.edu.cn/hls/hls136.m3u8
CCTV-7国防军事高清,http://hdtv.lzu6.edu.cn/hls/hls73a8.m3u8
CCTV-8电视剧高清,http://hdtv.lzu6.edu.cn/hls/cctv8hd.m3u8
CCTV-8电视剧高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv8.m3u8
CCTV-8电视剧高清,http://hdtv.lzu6.edu.cn/hls/hls72a9.m3u8
CCTV-9纪录高清,http://hdtv.lzu6.edu.cn/hls/cctv9hd.m3u8
CCTV-9纪录高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv9hd.m3u8
CCTV-9纪录高清,http://hdtv.lzu6.edu.cn/hls/hls72a10.m3u8
CCTV-9纪录高清,http://hdtv.lzu6.edu.cn/hls/hls137.m3u8
CGTN-纪录高清,http://hdtv.lzu6.edu.cn/hls/hls67a44.m3u8
CGTN-纪录高清,http://hdtv.lzu6.edu.cn/hls/hls67a43.m3u8
CCTV-10科教高清,http://hdtv.lzu6.edu.cn/hls/cctv10hd.m3u8
CCTV-10科教高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv10hd.m3u8
CCTV-10科教高清,http://hdtv.lzu6.edu.cn/hls/hls138.m3u8
CCTV-10科教高清,http://hdtv.lzu6.edu.cn/hls/hls72a11.m3u8
CCTV-11戏曲高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv11hd.m3u8
CCTV-12社会与法高清,http://hdtv.lzu6.edu.cn/hls/cctv12hd.m3u8
CCTV-12社会与法高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv12hd.m3u8
CCTV-12社会与法高清,http://hdtv.lzu6.edu.cn/hls/hls72a12.m3u8
CCTV-12社会与法高清,http://hdtv.lzu6.edu.cn/hls/hls139.m3u8
CCTV-13新闻高清,http://hdtv.lzu6.edu.cn/hls/cctv13hd.m3u8
CCTV-13新闻高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv13.m3u8
CCTV-13新闻高清,http://hdtv.lzu6.edu.cn/hls/hls186a13.m3u8
CCTV-13新闻高清,http://hdtv.lzu6.edu.cn/hls/hls258.m3u8
CCTV-14少儿高清,http://hdtv.lzu6.edu.cn/hls/cctv14hd.m3u8
CCTV-14少儿高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv14hd.m3u8
CCTV-14少儿高清,http://hdtv.lzu6.edu.cn/hls/hls140.m3u8
CCTV-14少儿高清,http://hdtv.lzu6.edu.cn/hls/hls71a13.m3u8
CCTV-15音乐高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv15hd.m3u8
CCTV-17农业农村高清,http://hdtv.lzu6.edu.cn/hls/cctv17hd.m3u8
CCTV-17农业农村高清,http://hdtv.lzu6.edu.cn/hls/jlu_cctv17.m3u8
CCTV第一剧场高清,http://hdtv.lzu6.edu.cn/hls/hls184a512.m3u8
CCTV第一剧场高清,http://hdtv.lzu6.edu.cn/hls/dyjctv.m3u8
CCTV风云足球高清,http://hdtv.lzu6.edu.cn/hls/fyzqtv.m3u8
CCTV风云音乐高清,http://hdtv.lzu6.edu.cn/hls/hls184a519.m3u8
CCTV怀旧剧场高清,http://hdtv.lzu6.edu.cn/hls/hls184a518.m3u8
CCTV怀旧剧场高清,http://hdtv.lzu6.edu.cn/hls/hjjctv.m3u8
CCTV兵器科技高清,http://hdtv.lzu6.edu.cn/hls/hls184a573.m3u8
CCTV兵器科技高清,http://hdtv.lzu6.edu.cn/hls/gfjstv.m3u8
CCTV电视指南高清,http://hdtv.lzu6.edu.cn/hls/hls186a88.m3u8
央视台球高清,http://hdtv.lzu6.edu.cn/hls/hls184a574.m3u8
CHC高清电影高清,http://hdtv.lzu6.edu.cn/hls/hls260.m3u8
CHC高清电影高清,http://hdtv.lzu6.edu.cn/hls/chchd.m3u8
CHC家庭影院高清,http://hdtv.lzu6.edu.cn/hls/hls259.m3u8
CHC动作电影高清,http://hdtv.lzu6.edu.cn/hls/hls261.m3u8
湖南卫视高清,http://hdtv.lzu6.edu.cn/hls/hunanhd.m3u8
湖南卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_hnhd.m3u8
湖南卫视高清,http://hdtv.lzu6.edu.cn/hls/hls115.m3u8
湖南卫视高清,http://hdtv.lzu6.edu.cn/hls/hls71a15.m3u8
浙江卫视高清,http://hdtv.lzu6.edu.cn/hls/zjhd.m3u8
浙江卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_zjhd.m3u8
浙江卫视高清,http://hdtv.lzu6.edu.cn/hls/hls68a51.m3u8
浙江卫视高清,http://hdtv.lzu6.edu.cn/hls/hls123.m3u8
东方卫视高清,http://hdtv.lzu6.edu.cn/hls/dfhd.m3u8
东方卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_dfhd.m3u8
东方卫视高清,http://hdtv.lzu6.edu.cn/hls/hls69a24.m3u8
东方卫视高清,http://hdtv.lzu6.edu.cn/hls/hls122.m3u8
江苏卫视高清,http://hdtv.lzu6.edu.cn/hls/jshd.m3u8
江苏卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_jshd.m3u8
江苏卫视高清,http://hdtv.lzu6.edu.cn/hls/hls68a52.m3u8
江苏卫视高清,http://hdtv.lzu6.edu.cn/hls/hls116.m3u8
北京卫视高清,http://hdtv.lzu6.edu.cn/hls/btv1hd.m3u8
北京卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_bjhd.m3u8
北京卫视高清,http://hdtv.lzu6.edu.cn/hls/hls69a21.m3u8
北京卫视高清,http://hdtv.lzu6.edu.cn/hls/hls117.m3u8
安徽卫视高清,http://hdtv.lzu6.edu.cn/hls/ahhd.m3u8
安徽卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_ahhd.m3u8
安徽卫视高清,http://hdtv.lzu6.edu.cn/hls/hls71a16.m3u8
安徽卫视高清,http://hdtv.lzu6.edu.cn/hls/hls141.m3u8
深圳卫视高清,http://hdtv.lzu6.edu.cn/hls/szhd.m3u8
深圳卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_szhd.m3u8
深圳卫视高清,http://hdtv.lzu6.edu.cn/hls/hls70a20.m3u8
深圳卫视高清,http://hdtv.lzu6.edu.cn/hls/hls110.m3u8
辽宁卫视高清,http://hdtv.lzu6.edu.cn/hls/lnhd.m3u8
辽宁卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_lnhd.m3u8
辽宁卫视高清,http://hdtv.lzu6.edu.cn/hls/hls126.m3u8
吉林卫视高清,http://hdtv.lzu6.edu.cn/hls/jlhd.m3u8
吉林卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_jlhd.m3u8
黑龙江卫视高清,http://hdtv.lzu6.edu.cn/hls/hljhd.m3u8
黑龙江卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_hljhd.m3u8
黑龙江卫视高清,http://hdtv.lzu6.edu.cn/hls/hls95.m3u8
黑龙江卫视高清,http://hdtv.lzu6.edu.cn/hls/hls71a14.m3u8
天津卫视高清,http://hdtv.lzu6.edu.cn/hls/tjhd.m3u8
天津卫视高清,http://hdtv.lzu6.edu.cn/hls/hls69a22.m3u8
天津卫视高清,http://hdtv.lzu6.edu.cn/hls/hls125.m3u8
重庆卫视高清,http://hdtv.lzu6.edu.cn/hls/cqhd.m3u8
重庆卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_cqhd.m3u8
重庆卫视高清,http://hdtv.lzu6.edu.cn/hls/hls186.m3u8
重庆卫视高清,http://hdtv.lzu6.edu.cn/hls/hls68a41.m3u8
湖北卫视高清,http://hdtv.lzu6.edu.cn/hls/hbhd.m3u8
湖北卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_hbhd.m3u8
湖北卫视高清,http://hdtv.lzu6.edu.cn/hls/hls70a17.m3u8
湖北卫视高清,http://hdtv.lzu6.edu.cn/hls/hls124.m3u8
山东卫视高清,http://hdtv.lzu6.edu.cn/hls/sdhd.m3u8
山东卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_sdhd.m3u8
山东卫视高清,http://hdtv.lzu6.edu.cn/hls/hls70a18.m3u8
山东卫视高清,http://hdtv.lzu6.edu.cn/hls/hls131.m3u8
广东卫视高清,http://hdtv.lzu6.edu.cn/hls/gdhd.m3u8
广东卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_gdhd.m3u8
广东卫视高清,http://hdtv.lzu6.edu.cn/hls/hls70a19.m3u8
广东卫视高清,http://hdtv.lzu6.edu.cn/hls/hls130.m3u8
四川卫视高清,http://hdtv.lzu6.edu.cn/hls/schd.m3u8
四川卫视高清,http://hdtv.lzu6.edu.cn/hls/hls185.m3u8
四川卫视高清,http://hdtv.lzu6.edu.cn/hls/hls67a42.m3u8
河南卫视高清,http://hdtv.lzu6.edu.cn/hls/hnhd.m3u8
东南卫视高清,http://hdtv.lzu6.edu.cn/hls/dnhd.m3u8
东南卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_dnwshd.m3u8
东南卫视高清,http://hdtv.lzu6.edu.cn/hls/hls77a55.m3u8
海南卫视高清,http://hdtv.lzu6.edu.cn/hls/lyhd.m3u8
海南卫视高清,http://hdtv.lzu6.edu.cn/hls/hls77a74.m3u8
河北卫视高清,http://hdtv.lzu6.edu.cn/hls/hebhd.m3u8
河北卫视高清,http://hdtv.lzu6.edu.cn/hls/jlu_hbhd1.m3u8
江西卫视高清,http://hdtv.lzu6.edu.cn/hls/jxhd.m3u8
广西卫视高清,http://hdtv.lzu6.edu.cn/hls/gxhd.m3u8
贵州卫视高清,http://hdtv.lzu6.edu.cn/hls/gzhd.m3u8
贵州卫视高清,http://hdtv.lzu6.edu.cn/hls/hls186a71.m3u8
沈阳新闻综合高清,http://hdtv.lzu6.edu.cn/hls/hls185a542.m3u8
凤凰卫视高清,http://hdtv.lzu6.edu.cn/hls/hls254.m3u8
凤凰资讯高清,http://hdtv.lzu6.edu.cn/hls/hls255.m3u8
BTV文艺高清,http://hdtv.lzu6.edu.cn/hls/btv2hd.m3u8
BTV科教高清,http://hdtv.lzu6.edu.cn/hls/btv3hd.m3u8
BTV影视高清,http://hdtv.lzu6.edu.cn/hls/btv4hd.m3u8
BTV财经高清,http://hdtv.lzu6.edu.cn/hls/btv5hd.m3u8
BTV生活高清,http://hdtv.lzu6.edu.cn/hls/btv7hd.m3u8
BTV青年高清,http://hdtv.lzu6.edu.cn/hls/btv8hd.m3u8
BTV新闻高清,http://hdtv.lzu6.edu.cn/hls/btv9hd.m3u8
BTV冬奥纪实高清,http://hdtv.lzu6.edu.cn/hls/btv11hd.m3u8
BTV冬奥纪实高清,http://hdtv.lzu6.edu.cn/hls/hls69a25.m3u8
BTV冬奥纪实高清,http://hdtv.lzu6.edu.cn/hls/hls162.m3u8
金鹰纪实高清,http://hdtv.lzu6.edu.cn/hls/gedocu.m3u8
金鹰纪实高清,http://hdtv.lzu6.edu.cn/hls/hls75a26.m3u8
金鹰纪实高清,http://hdtv.lzu6.edu.cn/hls/hls163.m3u8
上视纪实高清,http://hdtv.lzu6.edu.cn/hls/docuchina.m3u8
足球频道高清,http://hdtv.lzu6.edu.cn/hls/zqhd.m3u8
家庭剧场HD高清,http://hdtv.lzu6.edu.cn/hls/hls75a28.m3u8
家庭剧场HD高清,http://hdtv.lzu6.edu.cn/hls/hls165.m3u8
大众影视HD高清,http://hdtv.lzu6.edu.cn/hls/hls75a27.m3u8
大众影视HD高清,http://hdtv.lzu6.edu.cn/hls/hls164.m3u8
家庭影院HD高清,http://hdtv.lzu6.edu.cn/hls/hls75a29.m3u8
家庭影院HD高清,http://hdtv.lzu6.edu.cn/hls/hls166.m3u8
爱映画高清,http://hdtv.lzu6.edu.cn/hls/hls78a46.m3u8
卡通剧场HD高清,http://hdtv.lzu6.edu.cn/hls/hls77a30.m3u8
卡通剧场HD高清,http://hdtv.lzu6.edu.cn/hls/hls167.m3u8
动漫秀场高清,http://hdtv.lzu6.edu.cn/hls/hls184a636.m3u8
游戏风云高清,http://hdtv.lzu6.edu.cn/hls/hls184a637.m3u8
晴天动画馆高清,http://hdtv.lzu6.edu.cn/hls/hls78a47.m3u8
时光剧场高清,http://hdtv.lzu6.edu.cn/hls/hls78a48.m3u8
CETV-1高清,http://hdtv.lzu6.edu.cn/hls/cetv1hd.m3u8
CETV-1高清,http://hdtv.lzu6.edu.cn/hls/hls67a45.m3u8
快乐垂钓高清,http://hdtv.lzu6.edu.cn/hls/hls186a69.m3u8
茶频道高清,http://hdtv.lzu6.edu.cn/hls/hls186a70.m3u8
Max极速汽车高清,http://hdtv.lzu6.edu.cn/hls/hls184a94.m3u8
金色频道高清,http://hdtv.lzu6.edu.cn/hls/hls184a90.m3u8
生活时尚高清,http://hdtv.lzu6.edu.cn/hls/hls184a91.m3u8
法治天地高清,http://hdtv.lzu6.edu.cn/hls/hls184a89.m3u8
欢笑剧场高清,http://hdtv.lzu6.edu.cn/hls/hls185a97.m3u8
IPTV5+高清,http://hdtv.lzu6.edu.cn/hls/hls184.m3u8
CCTV-1综合,http://hdtv.lzu6.edu.cn/hls/cctv1.m3u8
CCTV-1综合,http://hdtv.lzu6.edu.cn/hls/hls1.m3u8
CCTV-2财经,http://hdtv.lzu6.edu.cn/hls/cctv2.m3u8
CCTV-2财经,http://hdtv.lzu6.edu.cn/hls/hls2.m3u8
CCTV-3综艺,http://hdtv.lzu6.edu.cn/hls/cctv3.m3u8
CCTV-4中文国际,http://hdtv.lzu6.edu.cn/hls/cctv4.m3u8
CCTV-5体育,http://hdtv.lzu6.edu.cn/hls/cctv5.m3u8
CCTV-6电影,http://hdtv.lzu6.edu.cn/hls/cctv6.m3u8
CCTV-7国防军事,http://hdtv.lzu6.edu.cn/hls/cctv7.m3u8
CCTV-7国防军事,http://hdtv.lzu6.edu.cn/hls/hls7.m3u8
CCTV-8电视剧,http://hdtv.lzu6.edu.cn/hls/cctv8.m3u8
CCTV-9纪录,http://hdtv.lzu6.edu.cn/hls/cctv9.m3u8
CCTV-9纪录,http://hdtv.lzu6.edu.cn/hls/hls5.m3u8
CCTV-10科教,http://hdtv.lzu6.edu.cn/hls/cctv10.m3u8
CCTV-10科教,http://hdtv.lzu6.edu.cn/hls/hls10.m3u8
CCTV-11戏曲,http://hdtv.lzu6.edu.cn/hls/cctv11.m3u8
CCTV-11戏曲,http://hdtv.lzu6.edu.cn/hls/hls11.m3u8
CCTV-12社会与法,http://hdtv.lzu6.edu.cn/hls/cctv12.m3u8
CCTV-12社会与法,http://hdtv.lzu6.edu.cn/hls/hls12.m3u8
CCTV-13新闻,http://hdtv.lzu6.edu.cn/hls/cctv13.m3u8
CCTV-13新闻,http://hdtv.lzu6.edu.cn/hls/hls13.m3u8
CCTV-14少儿,http://hdtv.lzu6.edu.cn/hls/cctv14.m3u8
CCTV-14少儿,http://hdtv.lzu6.edu.cn/hls/hls14.m3u8
CCTV-15音乐,http://hdtv.lzu6.edu.cn/hls/cctv15.m3u8
CCTV-15音乐,http://hdtv.lzu6.edu.cn/hls/hls41.m3u8
CGTN,http://hdtv.lzu6.edu.cn/hls/cctv16.m3u8
CCTV怀旧剧场,http://hdtv.lzu6.edu.cn/hls/hls94.m3u8
CCTV老故事,http://hdtv.lzu6.edu.cn/hls/hls113.m3u8
CCTV风云足球,http://hdtv.lzu6.edu.cn/hls/hls20.m3u8
CCTV兵器科技,http://hdtv.lzu6.edu.cn/hls/hls23.m3u8
CCTV女性时尚,http://hdtv.lzu6.edu.cn/hls/hls44.m3u8
CCTV央视文化精品,http://hdtv.lzu6.edu.cn/hls/hls61.m3u8
CCTV中学生,http://hdtv.lzu6.edu.cn/hls/hls184a536.m3u8
湖南卫视,http://hdtv.lzu6.edu.cn/hls/hunantv.m3u8
湖南卫视,http://hdtv.lzu6.edu.cn/hls/hls69.m3u8
浙江卫视,http://hdtv.lzu6.edu.cn/hls/zjtv.m3u8
浙江卫视,http://hdtv.lzu6.edu.cn/hls/hls70.m3u8
东方卫视,http://hdtv.lzu6.edu.cn/hls/dftv.m3u8
江苏卫视,http://hdtv.lzu6.edu.cn/hls/jstv.m3u8
江苏卫视,http://hdtv.lzu6.edu.cn/hls/hls17.m3u8
北京卫视,http://hdtv.lzu6.edu.cn/hls/btv1.m3u8
北京卫视,http://hdtv.lzu6.edu.cn/hls/hls68.m3u8
安徽卫视,http://hdtv.lzu6.edu.cn/hls/ahtv.m3u8
安徽卫视,http://hdtv.lzu6.edu.cn/hls/hls73.m3u8
深圳卫视,http://hdtv.lzu6.edu.cn/hls/sztv.m3u8
深圳卫视,http://hdtv.lzu6.edu.cn/hls/hls106.m3u8
辽宁卫视,http://hdtv.lzu6.edu.cn/hls/lntv.m3u8
辽宁卫视,http://hdtv.lzu6.edu.cn/hls/hls16.m3u8
吉林卫视,http://hdtv.lzu6.edu.cn/hls/jltv.m3u8
吉林卫视,http://hdtv.lzu6.edu.cn/hls/jlu_jsws.m3u8
吉林卫视,http://hdtv.lzu6.edu.cn/hls/hls84.m3u8
黑龙江卫视,http://hdtv.lzu6.edu.cn/hls/hljtv.m3u8
黑龙江卫视,http://hdtv.lzu6.edu.cn/hls/hls85.m3u8
天津卫视,http://hdtv.lzu6.edu.cn/hls/tjtv.m3u8
天津卫视,http://hdtv.lzu6.edu.cn/hls/hls81.m3u8
重庆卫视,http://hdtv.lzu6.edu.cn/hls/cqtv.m3u8
重庆卫视,http://hdtv.lzu6.edu.cn/hls/hls75.m3u8
湖北卫视,http://hdtv.lzu6.edu.cn/hls/hbtv.m3u8
湖北卫视,http://hdtv.lzu6.edu.cn/hls/hls83.m3u8
山东卫视,http://hdtv.lzu6.edu.cn/hls/sdtv.m3u8
山东卫视,http://hdtv.lzu6.edu.cn/hls/hls78.m3u8
广东卫视,http://hdtv.lzu6.edu.cn/hls/gdtv.m3u8
广东卫视,http://hdtv.lzu6.edu.cn/hls/hls72.m3u8
四川卫视,http://hdtv.lzu6.edu.cn/hls/sctv.m3u8
四川卫视,http://hdtv.lzu6.edu.cn/hls/hls77.m3u8
河南卫视,http://hdtv.lzu6.edu.cn/hls/hntv.m3u8
河南卫视,http://hdtv.lzu6.edu.cn/hls/hls80.m3u8
东南卫视,http://hdtv.lzu6.edu.cn/hls/dntv.m3u8
东南卫视,http://hdtv.lzu6.edu.cn/hls/hls74.m3u8
海南卫视,http://hdtv.lzu6.edu.cn/hls/lytv.m3u8
海南卫视,http://hdtv.lzu6.edu.cn/hls/hls71.m3u8
河北卫视,http://hdtv.lzu6.edu.cn/hls/hebtv.m3u8
河北卫视,http://hdtv.lzu6.edu.cn/hls/hls49.m3u8
江西卫视,http://hdtv.lzu6.edu.cn/hls/jxtv.m3u8
江西卫视,http://hdtv.lzu6.edu.cn/hls/hls82.m3u8
广西卫视,http://hdtv.lzu6.edu.cn/hls/gxtv.m3u8
广西卫视,http://hdtv.lzu6.edu.cn/hls/hls76.m3u8
广西卫视,http://hdtv.lzu6.edu.cn/hls/hls186a469.m3u8
陕西卫视,http://hdtv.lzu6.edu.cn/hls/sxtv.m3u8
陕西卫视,http://hdtv.lzu6.edu.cn/hls/hls35.m3u8
宁夏卫视,http://hdtv.lzu6.edu.cn/hls/nxtv.m3u8
宁夏卫视,http://hdtv.lzu6.edu.cn/hls/hls34.m3u8
山西卫视,http://hdtv.lzu6.edu.cn/hls/sxrtv.m3u8
山西卫视,http://hdtv.lzu6.edu.cn/hls/hls86.m3u8
贵州卫视,http://hdtv.lzu6.edu.cn/hls/gztv.m3u8
贵州卫视,http://hdtv.lzu6.edu.cn/hls/hls87.m3u8
甘肃卫视,http://hdtv.lzu6.edu.cn/hls/gstv.m3u8
甘肃卫视,http://hdtv.lzu6.edu.cn/hls/hls50.m3u8
兵团卫视,http://hdtv.lzu6.edu.cn/hls/bttv.m3u8
兵团卫视,http://hdtv.lzu6.edu.cn/hls/hls67.m3u8
新疆卫视,http://hdtv.lzu6.edu.cn/hls/xjtv.m3u8
新疆卫视,http://hdtv.lzu6.edu.cn/hls/hls18.m3u8
云南卫视,http://hdtv.lzu6.edu.cn/hls/yntv.m3u8
云南卫视,http://hdtv.lzu6.edu.cn/hls/hls40.m3u8
西藏卫视,http://hdtv.lzu6.edu.cn/hls/xztv.m3u8
西藏卫视,http://hdtv.lzu6.edu.cn/hls/hls114.m3u8
西藏卫视,http://hdtv.lzu6.edu.cn/hls/hls186a481.m3u8
厦门卫视,http://hdtv.lzu6.edu.cn/hls/xmtv.m3u8
厦门卫视,http://hdtv.lzu6.edu.cn/hls/hls160.m3u8
厦门卫视,http://hdtv.lzu6.edu.cn/hls/hls186a454.m3u8
内蒙古卫视,http://hdtv.lzu6.edu.cn/hls/nmtv.m3u8
内蒙古卫视,http://hdtv.lzu6.edu.cn/hls/hls111.m3u8
内蒙古卫视,http://hdtv.lzu6.edu.cn/hls/hls186a478.m3u8
青海卫视,http://hdtv.lzu6.edu.cn/hls/qhtv.m3u8
青海卫视,http://hdtv.lzu6.edu.cn/hls/hls101.m3u8
延边卫视,http://hdtv.lzu6.edu.cn/hls/hls161.m3u8
延边卫视,http://hdtv.lzu6.edu.cn/hls/ybtv.m3u8
三沙卫视,http://hdtv.lzu6.edu.cn/hls/sstv.m3u8
BTV文艺,http://hdtv.lzu6.edu.cn/hls/btv2.m3u8
BTV科教,http://hdtv.lzu6.edu.cn/hls/btv3.m3u8
BTV影视,http://hdtv.lzu6.edu.cn/hls/btv4.m3u8
BTV财经,http://hdtv.lzu6.edu.cn/hls/btv5.m3u8
BTV生活,http://hdtv.lzu6.edu.cn/hls/btv7.m3u8
BTV青年,http://hdtv.lzu6.edu.cn/hls/btv8.m3u8
BTV新闻,http://hdtv.lzu6.edu.cn/hls/btv9.m3u8
BTV卡酷少儿,http://hdtv.lzu6.edu.cn/hls/btv10.m3u8
BTV卡酷少儿,http://hdtv.lzu6.edu.cn/hls/jlu_bjkk.m3u8
BTV卡酷少儿,http://hdtv.lzu6.edu.cn/hls/hls57.m3u8
BTV冬奥纪实,http://hdtv.lzu6.edu.cn/hls/btv11.m3u8
沈阳新闻综合,http://hdtv.lzu6.edu.cn/hls/hls142.m3u8
沈阳新闻综合,http://hdtv.lzu6.edu.cn/hls/hls9.m3u8
CETV-1,http://hdtv.lzu6.edu.cn/hls/cetv1.m3u8
CETV-3,http://hdtv.lzu6.edu.cn/hls/cetv3.m3u8
CETV-4,http://hdtv.lzu6.edu.cn/hls/cetv4.m3u8
早期教育,http://hdtv.lzu6.edu.cn/hls/hls25.m3u8
山东教育台,http://hdtv.lzu6.edu.cn/hls/sdetv.m3u8
凤凰卫视,http://hdtv.lzu6.edu.cn/hls/fhzw.m3u8
凤凰资讯,http://hdtv.lzu6.edu.cn/hls/fhzx.m3u8
凤凰电影,http://hdtv.lzu6.edu.cn/hls/fhdy.m3u8
探索频道,http://hdtv.lzu6.edu.cn/hls/discovery.m3u8
Channel[V],http://hdtv.lzu6.edu.cn/hls/channelv.m3u8
CHC家庭影院,http://hdtv.lzu6.edu.cn/hls/chctv.m3u8
CHC动作电影,http://hdtv.lzu6.edu.cn/hls/chcatv.m3u8
星空卫视,http://hdtv.lzu6.edu.cn/hls/startv.m3u8
国家地理频道,http://hdtv.lzu6.edu.cn/hls/natlgeo.m3u8
Star Sports,http://hdtv.lzu6.edu.cn/hls/starsports.m3u8
宜佳购物,http://hdtv.lzu6.edu.cn/hls/hls21.m3u8
辽宁体育,http://hdtv.lzu6.edu.cn/hls/hls3.m3u8
辽宁生活,http://hdtv.lzu6.edu.cn/hls/hls96.m3u8
辽宁北方,http://hdtv.lzu6.edu.cn/hls/hls55.m3u8
辽宁都市,http://hdtv.lzu6.edu.cn/hls/hls88.m3u8
辽宁影视剧,http://hdtv.lzu6.edu.cn/hls/hls97.m3u8
辽宁教育青少,http://hdtv.lzu6.edu.cn/hls/hls99.m3u8
辽宁经济,http://hdtv.lzu6.edu.cn/hls/hls185a540.m3u8
辽宁宜家购物,http://hdtv.lzu6.edu.cn/hls/hls185a420.m3u8
金鹰卡通,http://hdtv.lzu6.edu.cn/hls/jykttv.m3u8
金鹰卡通,http://hdtv.lzu6.edu.cn/hls/hls158.m3u8
优漫卡通,http://hdtv.lzu6.edu.cn/hls/hls159.m3u8
优漫卡通,http://hdtv.lzu6.edu.cn/hls/hls184a505.m3u8
新动漫,http://hdtv.lzu6.edu.cn/hls/hls64.m3u8
IPTV少儿动画,http://hdtv.lzu6.edu.cn/hls/hls104.m3u8
哈哈炫动,http://hdtv.lzu6.edu.cn/hls/hls103.m3u8
GTV网络棋牌,http://hdtv.lzu6.edu.cn/hls/hls65.m3u8
GTV游戏竞技,http://hdtv.lzu6.edu.cn/hls/hls112.m3u8
电子体育,http://hdtv.lzu6.edu.cn/hls/hls24.m3u8
经典剧场,http://hdtv.lzu6.edu.cn/hls/hls89.m3u8
亚洲电影,http://hdtv.lzu6.edu.cn/hls/hls30.m3u8
热播电影,http://hdtv.lzu6.edu.cn/hls/hls32.m3u8
生活剧场,http://hdtv.lzu6.edu.cn/hls/hls37.m3u8
原声电影,http://hdtv.lzu6.edu.cn/hls/hls33.m3u8
家庭影院,http://hdtv.lzu6.edu.cn/hls/hls39.m3u8
